,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,McCain; John,1266546,4461130.0,7.0,2099819,299975.0,4.0,66646.0,233314.0,5.0,99976.0,148.0,14188.0,89.0,3814.0,13999.0,90.0,6636.0
1,Alabama,Obama; Barack,813479,4461130.0,7.0,2099819,299975.0,2.0,213529.0,233314.0,3.0,113537.0,148.0,14188.0,57.0,4763.0,13999.0,58.0,1537.0
2,Alabama,Nader; Ralph,6788,4461130.0,7.0,2099819,299975.0,0.0,6788.0,233314.0,0.0,6788.0,148.0,14188.0,0.0,6788.0,13999.0,0.0,6788.0
3,Alabama,Barr; Bob,4991,4461130.0,7.0,2099819,299975.0,0.0,4991.0,233314.0,0.0,4991.0,148.0,14188.0,0.0,4991.0,13999.0,0.0,4991.0
4,Alabama,Baldwin; Chuck,4310,4461130.0,7.0,2099819,299975.0,0.0,4310.0,233314.0,0.0,4310.0,148.0,14188.0,0.0,4310.0,13999.0,0.0,4310.0
5,Alabama,Scattered,3705,4461130.0,7.0,2099819,299975.0,0.0,3705.0,233314.0,0.0,3705.0,148.0,14188.0,0.0,3705.0,13999.0,0.0,3705.0
6,Alaska,McCain; John,193841,628933.0,1.0,326197,326197.0,0.0,193841.0,108733.0,1.0,85108.0,20.0,16310.0,11.0,14431.0,14828.0,13.0,1077.0
7,Alaska,Obama; Barack,123594,628933.0,1.0,326197,326197.0,0.0,123594.0,108733.0,1.0,14861.0,20.0,16310.0,7.0,9424.0,14828.0,8.0,4970.0
8,Alaska,Nader; Ralph,3783,628933.0,1.0,326197,326197.0,0.0,3783.0,108733.0,0.0,3783.0,20.0,16310.0,0.0,3783.0,14828.0,0.0,3783.0
9,Alaska,Scattered,1730,628933.0,1.0,326197,326197.0,0.0,1730.0,108733.0,0.0,1730.0,20.0,16310.0,0.0,1730.0,14828.0,0.0,1730.0
10,Alaska,Baldwin; Chuck,1660,628933.0,1.0,326197,326197.0,0.0,1660.0,108733.0,0.0,1660.0,20.0,16310.0,0.0,1660.0,14828.0,0.0,1660.0
11,Alaska,Barr; Bob,1589,628933.0,1.0,326197,326197.0,0.0,1589.0,108733.0,0.0,1589.0,20.0,16310.0,0.0,1589.0,14828.0,0.0,1589.0
12,Arizona,McCain; John,1230111,5140683.0,8.0,2293475,286685.0,4.0,83371.0,229348.0,5.0,83371.0,171.0,13413.0,91.0,9528.0,13258.0,92.0,10375.0
13,Arizona,Obama; Barack,1034707,5140683.0,8.0,2293475,286685.0,3.0,174652.0,229348.0,4.0,117315.0,171.0,13413.0,77.0,1906.0,13258.0,78.0,583.0
14,Arizona,Barr; Bob,12555,5140683.0,8.0,2293475,286685.0,0.0,12555.0,229348.0,0.0,12555.0,171.0,13413.0,0.0,12555.0,13258.0,0.0,12555.0
15,Arizona,Nader; Ralph,11301,5140683.0,8.0,2293475,286685.0,0.0,11301.0,229348.0,0.0,11301.0,171.0,13413.0,0.0,11301.0,13258.0,0.0,11301.0
16,Arizona,McKinney; Cynthia,3406,5140683.0,8.0,2293475,286685.0,0.0,3406.0,229348.0,0.0,3406.0,171.0,13413.0,0.0,3406.0,13258.0,0.0,3406.0
17,Arizona,Baldwin; Chuck,1371,5140683.0,8.0,2293475,286685.0,0.0,1371.0,229348.0,0.0,1371.0,171.0,13413.0,0.0,1371.0,13258.0,0.0,1371.0
18,Arizona,Jay; Charles,16,5140683.0,8.0,2293475,286685.0,0.0,16.0,229348.0,0.0,16.0,171.0,13413.0,0.0,16.0,13258.0,0.0,16.0
19,Arizona,Allen; Jonathan,8,5140683.0,8.0,2293475,286685.0,0.0,8.0,229348.0,0.0,8.0,171.0,13413.0,0.0,8.0,13258.0,0.0,8.0
20,Arkansas,McCain; John,638017,2679733.0,4.0,1086617,271655.0,2.0,94707.0,181103.0,3.0,94708.0,89.0,12210.0,52.0,3097.0,11941.0,53.0,5144.0
21,Arkansas,Obama; Barack,422310,2679733.0,4.0,1086617,271655.0,1.0,150655.0,181103.0,2.0,60104.0,89.0,12210.0,34.0,7170.0,11941.0,35.0,4375.0
22,Arkansas,Nader; Ralph,12882,2679733.0,4.0,1086617,271655.0,0.0,12882.0,181103.0,0.0,12882.0,89.0,12210.0,1.0,672.0,11941.0,1.0,941.0
23,Arkansas,Barr; Bob,4776,2679733.0,4.0,1086617,271655.0,0.0,4776.0,181103.0,0.0,4776.0,89.0,12210.0,0.0,4776.0,11941.0,0.0,4776.0
24,Arkansas,Baldwin; Chuck,4023,2679733.0,4.0,1086617,271655.0,0.0,4023.0,181103.0,0.0,4023.0,89.0,12210.0,0.0,4023.0,11941.0,0.0,4023.0
25,Arkansas,McKinney; Cynthia,3470,2679733.0,4.0,1086617,271655.0,0.0,3470.0,181103.0,0.0,3470.0,89.0,12210.0,0.0,3470.0,11941.0,0.0,3470.0
26,Arkansas,La Riva; Gloria,1139,2679733.0,4.0,1086617,271655.0,0.0,1139.0,181103.0,0.0,1139.0,89.0,12210.0,0.0,1139.0,11941.0,0.0,1139.0
27,California,Obama; Barack,8274473,33930798.0,53.0,13561900,255885.0,32.0,86153.0,246580.0,33.0,137333.0,1131.0,11992.0,689.0,11985.0,11970.0,691.0,3203.0
28,California,McCain; John,5011781,33930798.0,53.0,13561900,255885.0,19.0,149966.0,246580.0,20.0,80181.0,1131.0,11992.0,417.0,11117.0,11970.0,418.0,8321.0
29,California,Nader; Ralph,108381,33930798.0,53.0,13561900,255885.0,0.0,108381.0,246580.0,0.0,108381.0,1131.0,11992.0,9.0,453.0,11970.0,9.0,651.0
30,California,Barr; Bob,67582,33930798.0,53.0,13561900,255885.0,0.0,67582.0,246580.0,0.0,67582.0,1131.0,11992.0,5.0,7622.0,11970.0,5.0,7732.0
31,California,Keyes; Alan,40673,33930798.0,53.0,13561900,255885.0,0.0,40673.0,246580.0,0.0,40673.0,1131.0,11992.0,3.0,4697.0,11970.0,3.0,4763.0
32,California,McKinney; Cynthia,38774,33930798.0,53.0,13561900,255885.0,0.0,38774.0,246580.0,0.0,38774.0,1131.0,11992.0,3.0,2798.0,11970.0,3.0,2864.0
33,California,Paul; Ron,17006,33930798.0,53.0,13561900,255885.0,0.0,17006.0,246580.0,0.0,17006.0,1131.0,11992.0,1.0,5014.0,11970.0,1.0,5036.0
34,California,Baldwin; Chuck,3145,33930798.0,53.0,13561900,255885.0,0.0,3145.0,246580.0,0.0,3145.0,1131.0,11992.0,0.0,3145.0,11970.0,0.0,3145.0
35,California,Harris; James,49,33930798.0,53.0,13561900,255885.0,0.0,49.0,246580.0,0.0,49.0,1131.0,11992.0,0.0,49.0,11970.0,0.0,49.0
36,California,Moore; Frank,36,33930798.0,53.0,13561900,255885.0,0.0,36.0,246580.0,0.0,36.0,1131.0,11992.0,0.0,36.0,11970.0,0.0,36.0
37,Colorado,Obama; Barack,1288633,4311882.0,7.0,2401462,343066.0,3.0,259435.0,266830.0,4.0,221313.0,143.0,16794.0,76.0,12289.0,16562.0,77.0,13359.0
38,Colorado,McCain; John,1073629,4311882.0,7.0,2401462,343066.0,3.0,44431.0,266830.0,4.0,6309.0,143.0,16794.0,63.0,15607.0,16562.0,64.0,13661.0
39,Colorado,Nader; Ralph,13352,4311882.0,7.0,2401462,343066.0,0.0,13352.0,266830.0,0.0,13352.0,143.0,16794.0,0.0,13352.0,16562.0,0.0,13352.0
40,Colorado,Barr; Bob,10898,4311882.0,7.0,2401462,343066.0,0.0,10898.0,266830.0,0.0,10898.0,143.0,16794.0,0.0,10898.0,16562.0,0.0,10898.0
41,Colorado,Baldwin; Chuck,6233,4311882.0,7.0,2401462,343066.0,0.0,6233.0,266830.0,0.0,6233.0,143.0,16794.0,0.0,6233.0,16562.0,0.0,6233.0
42,Colorado,Keyes; Alan,3051,4311882.0,7.0,2401462,343066.0,0.0,3051.0,266830.0,0.0,3051.0,143.0,16794.0,0.0,3051.0,16562.0,0.0,3051.0
43,Colorado,McKinney; Cynthia,2822,4311882.0,7.0,2401462,343066.0,0.0,2822.0,266830.0,0.0,2822.0,143.0,16794.0,0.0,2822.0,16562.0,0.0,2822.0
