,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,Romney; Mitt,1255925,4802982.0,7.0,2074338,296334.0,4.0,70589.0,230482.0,5.0,103515.0,160.0,12965.0,96.0,11285.0,12805.0,98.0,1035.0
1,Alabama,Obama; Barack,795696,4802982.0,7.0,2074338,296334.0,2.0,203028.0,230482.0,3.0,104250.0,160.0,12965.0,61.0,4831.0,12805.0,62.0,1786.0
2,Alabama,Johnson; Gary,12328,4802982.0,7.0,2074338,296334.0,0.0,12328.0,230482.0,0.0,12328.0,160.0,12965.0,0.0,12328.0,12805.0,0.0,12328.0
3,Alabama,Scattered,4011,4802982.0,7.0,2074338,296334.0,0.0,4011.0,230482.0,0.0,4011.0,160.0,12965.0,0.0,4011.0,12805.0,0.0,4011.0
4,Alabama,Stein; Jill,3397,4802982.0,7.0,2074338,296334.0,0.0,3397.0,230482.0,0.0,3397.0,160.0,12965.0,0.0,3397.0,12805.0,0.0,3397.0
5,Alabama,Goode; Virgil H.; Jr.,2981,4802982.0,7.0,2074338,296334.0,0.0,2981.0,230482.0,0.0,2981.0,160.0,12965.0,0.0,2981.0,12805.0,0.0,2981.0
6,Alaska,Romney; Mitt,164676,721523.0,1.0,300495,300495.0,0.0,164676.0,100165.0,1.0,64511.0,24.0,12521.0,13.0,1903.0,11558.0,14.0,2864.0
7,Alaska,Obama; Barack,122640,721523.0,1.0,300495,300495.0,0.0,122640.0,100165.0,1.0,22475.0,24.0,12521.0,9.0,9951.0,11558.0,10.0,7060.0
8,Alaska,Johnson; Gary,7392,721523.0,1.0,300495,300495.0,0.0,7392.0,100165.0,0.0,7392.0,24.0,12521.0,0.0,7392.0,11558.0,0.0,7392.0
9,Alaska,Stein; Jill,2917,721523.0,1.0,300495,300495.0,0.0,2917.0,100165.0,0.0,2917.0,24.0,12521.0,0.0,2917.0,11558.0,0.0,2917.0
10,Alaska,Scattered,2870,721523.0,1.0,300495,300495.0,0.0,2870.0,100165.0,0.0,2870.0,24.0,12521.0,0.0,2870.0,11558.0,0.0,2870.0
11,Arizona,Romney; Mitt,1233654,6412700.0,9.0,2299254,255473.0,4.0,211762.0,209024.0,5.0,188534.0,213.0,10795.0,114.0,3024.0,10695.0,115.0,3729.0
12,Arizona,Obama; Barack,1025232,6412700.0,9.0,2299254,255473.0,4.0,3340.0,209024.0,4.0,189136.0,213.0,10795.0,94.0,10502.0,10695.0,95.0,9207.0
13,Arizona,Johnson; Gary,32100,6412700.0,9.0,2299254,255473.0,0.0,32100.0,209024.0,0.0,32100.0,213.0,10795.0,2.0,10510.0,10695.0,3.0,15.0
14,Arizona,Stein; Jill,7816,6412700.0,9.0,2299254,255473.0,0.0,7816.0,209024.0,0.0,7816.0,213.0,10795.0,0.0,7816.0,10695.0,0.0,7816.0
15,Arizona,Goode; Virgil,289,6412700.0,9.0,2299254,255473.0,0.0,289.0,209024.0,0.0,289.0,213.0,10795.0,0.0,289.0,10695.0,0.0,289.0
16,Arizona,"""Anderson; Ross C. """"Rocky""""""",119,6412700.0,9.0,2299254,255473.0,0.0,119.0,209024.0,0.0,119.0,213.0,10795.0,0.0,119.0,10695.0,0.0,119.0
17,Arizona,Reed; Jill,17,6412700.0,9.0,2299254,255473.0,0.0,17.0,209024.0,0.0,17.0,213.0,10795.0,0.0,17.0,10695.0,0.0,17.0
18,Arizona,Christensen; Will,14,6412700.0,9.0,2299254,255473.0,0.0,14.0,209024.0,0.0,14.0,213.0,10795.0,0.0,14.0,10695.0,0.0,14.0
19,Arizona,Knill; Dennis,7,6412700.0,9.0,2299254,255473.0,0.0,7.0,209024.0,0.0,7.0,213.0,10795.0,0.0,7.0,10695.0,0.0,7.0
20,Arizona,"""Tittle; Sheila """"Samm""""""",6,6412700.0,9.0,2299254,255473.0,0.0,6.0,209024.0,0.0,6.0,213.0,10795.0,0.0,6.0,10695.0,0.0,6.0
21,Arkansas,Romney; Mitt,647744,2926229.0,4.0,1069468,267367.0,2.0,113010.0,178245.0,3.0,113009.0,97.0,11026.0,58.0,8236.0,10803.0,59.0,10367.0
22,Arkansas,Obama; Barack,394409,2926229.0,4.0,1069468,267367.0,1.0,127042.0,178245.0,2.0,37919.0,97.0,11026.0,35.0,8499.0,10803.0,36.0,5501.0
23,Arkansas,Johnson; Gary,16276,2926229.0,4.0,1069468,267367.0,0.0,16276.0,178245.0,0.0,16276.0,97.0,11026.0,1.0,5250.0,10803.0,1.0,5473.0
24,Arkansas,Stein; Jill,9305,2926229.0,4.0,1069468,267367.0,0.0,9305.0,178245.0,0.0,9305.0,97.0,11026.0,0.0,9305.0,10803.0,0.0,9305.0
25,Arkansas,Lindsay; Peta,1734,2926229.0,4.0,1069468,267367.0,0.0,1734.0,178245.0,0.0,1734.0,97.0,11026.0,0.0,1734.0,10803.0,0.0,1734.0
26,California,Obama; Barack,7854285,37341989.0,53.0,13038547,246011.0,31.0,227944.0,237065.0,33.0,31140.0,1244.0,10482.0,749.0,3267.0,10465.0,750.0,5535.0
27,California,Romney; Mitt,4839958,37341989.0,53.0,13038547,246011.0,19.0,165749.0,237065.0,20.0,98658.0,1244.0,10482.0,461.0,7756.0,10465.0,462.0,5128.0
28,California,Johnson; Gary,143221,37341989.0,53.0,13038547,246011.0,0.0,143221.0,237065.0,0.0,143221.0,1244.0,10482.0,13.0,6955.0,10465.0,13.0,7176.0
29,California,Stein; Jill,85638,37341989.0,53.0,13038547,246011.0,0.0,85638.0,237065.0,0.0,85638.0,1244.0,10482.0,8.0,1782.0,10465.0,8.0,1918.0
30,California,Barr; Roseanne,53824,37341989.0,53.0,13038547,246011.0,0.0,53824.0,237065.0,0.0,53824.0,1244.0,10482.0,5.0,1414.0,10465.0,5.0,1499.0
31,California,Hoefling; Thomas,38372,37341989.0,53.0,13038547,246011.0,0.0,38372.0,237065.0,0.0,38372.0,1244.0,10482.0,3.0,6926.0,10465.0,3.0,6977.0
32,California,Paul; Ron,21461,37341989.0,53.0,13038547,246011.0,0.0,21461.0,237065.0,0.0,21461.0,1244.0,10482.0,2.0,497.0,10465.0,2.0,531.0
33,California,"""Anderson; Ross C. """"Rocky""""""",992,37341989.0,53.0,13038547,246011.0,0.0,992.0,237065.0,0.0,992.0,1244.0,10482.0,0.0,992.0,10465.0,0.0,992.0
34,California,Goode; Virgil,503,37341989.0,53.0,13038547,246011.0,0.0,503.0,237065.0,0.0,503.0,1244.0,10482.0,0.0,503.0,10465.0,0.0,503.0
35,California,Alexander; Stewart,82,37341989.0,53.0,13038547,246011.0,0.0,82.0,237065.0,0.0,82.0,1244.0,10482.0,0.0,82.0,10465.0,0.0,82.0
36,California,White; Jerry,79,37341989.0,53.0,13038547,246011.0,0.0,79.0,237065.0,0.0,79.0,1244.0,10482.0,0.0,79.0,10465.0,0.0,79.0
37,California,Harris; James,72,37341989.0,53.0,13038547,246011.0,0.0,72.0,237065.0,0.0,72.0,1244.0,10482.0,0.0,72.0,10465.0,0.0,72.0
