,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,Trump; Donald J.,1441170,4802982.0,7.0,2323282,331898.0,4.0,113578.0,258143.0,5.0,150455.0,160.0,14521.0,99.0,3591.0,14342.0,100.0,6970.0
1,Alabama,Biden; Joseph R.,849624,4802982.0,7.0,2323282,331898.0,2.0,185828.0,258143.0,3.0,75195.0,160.0,14521.0,58.0,7406.0,14342.0,59.0,3446.0
2,Alabama,Jorgensen; Jo,25176,4802982.0,7.0,2323282,331898.0,0.0,25176.0,258143.0,0.0,25176.0,160.0,14521.0,1.0,10655.0,14342.0,1.0,10834.0
3,Alabama,Scattered,7312,4802982.0,7.0,2323282,331898.0,0.0,7312.0,258143.0,0.0,7312.0,160.0,14521.0,0.0,7312.0,14342.0,0.0,7312.0
4,Alaska,Trump; Donald J.,189951,721523.0,1.0,359530,359530.0,0.0,189951.0,119844.0,1.0,70107.0,24.0,14981.0,12.0,10179.0,13829.0,13.0,10174.0
5,Alaska,Biden; Joseph R.; Jr.,153778,721523.0,1.0,359530,359530.0,0.0,153778.0,119844.0,1.0,33934.0,24.0,14981.0,10.0,3968.0,13829.0,11.0,1659.0
6,Alaska,Jorgensen; Jo,8897,721523.0,1.0,359530,359530.0,0.0,8897.0,119844.0,0.0,8897.0,24.0,14981.0,0.0,8897.0,13829.0,0.0,8897.0
7,Alaska,"""Janos; James G. """"Jesse Ventura""""""",2673,721523.0,1.0,359530,359530.0,0.0,2673.0,119844.0,0.0,2673.0,24.0,14981.0,0.0,2673.0,13829.0,0.0,2673.0
8,Alaska,Scattered,1961,721523.0,1.0,359530,359530.0,0.0,1961.0,119844.0,0.0,1961.0,24.0,14981.0,0.0,1961.0,13829.0,0.0,1961.0
9,Alaska,Blankenship; Don,1127,721523.0,1.0,359530,359530.0,0.0,1127.0,119844.0,0.0,1127.0,24.0,14981.0,0.0,1127.0,13829.0,0.0,1127.0
10,Alaska,Pierce; Brock,825,721523.0,1.0,359530,359530.0,0.0,825.0,119844.0,0.0,825.0,24.0,14981.0,0.0,825.0,13829.0,0.0,825.0
11,Alaska,"""De La Fuente; Roque """"Rocky""""""",318,721523.0,1.0,359530,359530.0,0.0,318.0,119844.0,0.0,318.0,24.0,14981.0,0.0,318.0,13829.0,0.0,318.0
12,Arizona,Biden; Joseph,1672143,6412700.0,9.0,3387326,376370.0,4.0,166663.0,307939.0,5.0,132448.0,213.0,15903.0,105.0,2328.0,15756.0,106.0,2007.0
13,Arizona,Trump; Donald J.,1661686,6412700.0,9.0,3387326,376370.0,4.0,156206.0,307939.0,5.0,121991.0,213.0,15903.0,104.0,7774.0,15756.0,105.0,7306.0
14,Arizona,Jorgensen; Jo,51465,6412700.0,9.0,3387326,376370.0,0.0,51465.0,307939.0,0.0,51465.0,213.0,15903.0,3.0,3756.0,15756.0,3.0,4197.0
15,Arizona,Hawkins; Howie,1557,6412700.0,9.0,3387326,376370.0,0.0,1557.0,307939.0,0.0,1557.0,213.0,15903.0,0.0,1557.0,15756.0,0.0,1557.0
16,Arizona,Simmons; Jade,236,6412700.0,9.0,3387326,376370.0,0.0,236.0,307939.0,0.0,236.0,213.0,15903.0,0.0,236.0,15756.0,0.0,236.0
17,Arizona,La Riva; Gloria,190,6412700.0,9.0,3387326,376370.0,0.0,190.0,307939.0,0.0,190.0,213.0,15903.0,0.0,190.0,15756.0,0.0,190.0
18,Arizona,Cummings; Daniel Clyde,36,6412700.0,9.0,3387326,376370.0,0.0,36.0,307939.0,0.0,36.0,213.0,15903.0,0.0,36.0,15756.0,0.0,36.0
19,Arizona,Boddie; President R.,13,6412700.0,9.0,3387326,376370.0,0.0,13.0,307939.0,0.0,13.0,213.0,15903.0,0.0,13.0,15756.0,0.0,13.0
20,Arkansas,Trump; Donald J.,760647,2926229.0,4.0,1219069,304768.0,2.0,151111.0,203179.0,3.0,151110.0,97.0,12568.0,60.0,6567.0,12314.0,61.0,9493.0
21,Arkansas,Biden; Joseph R.,423932,2926229.0,4.0,1219069,304768.0,1.0,119164.0,203179.0,2.0,17574.0,97.0,12568.0,33.0,9188.0,12314.0,34.0,5256.0
22,Arkansas,Jorgensen; Jo,13133,2926229.0,4.0,1219069,304768.0,0.0,13133.0,203179.0,0.0,13133.0,97.0,12568.0,1.0,565.0,12314.0,1.0,819.0
