,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
0,Alabama,P80001571,Trump; Donald J.,1318255,9.0,162.0,9.0,6.0,6.0,162.0,101.0,100.0
1,Alabama,P00003392,Clinton; Hillary,729547,9.0,162.0,0.0,3.0,3.0,0.0,55.0,56.0
2,Alabama,P20002671,Johnson; Gary,44467,9.0,162.0,0.0,0.0,0.0,0.0,3.0,3.0
3,Alabama,n/a,Scattered;,21712,9.0,162.0,0.0,0.0,0.0,0.0,2.0,2.0
4,Alabama,P20003984,Stein; Jill,9391,9.0,162.0,0.0,0.0,0.0,0.0,1.0,1.0
5,Alaska,P80001571,Trump; Donald J.,163387,3.0,26.0,3.0,3.0,2.0,26.0,14.0,13.0
6,Alaska,P00003392,Clinton; Hillary,116454,3.0,26.0,0.0,0.0,1.0,0.0,9.0,10.0
7,Alaska,P20002671,Johnson; Gary,18725,3.0,26.0,0.0,0.0,0.0,0.0,1.0,2.0
8,Alaska,n/a,Scattered,9201,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0
9,Alaska,P20003984,Stein; Jill,5735,3.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0
10,Alaska,P60021102,Castle; Darrell L.,3866,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alaska,P60016342,De La Fuente; Roque,1240,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,P80001571,Trump; Donald J.,1252401,11.0,215.0,11.0,7.0,5.0,215.0,106.0,105.0
13,Arizona,P00003392,Clinton; Hillary,1161167,11.0,215.0,0.0,4.0,5.0,0.0,96.0,97.0
14,Arizona,P20002671,Johnson; Gary,106327,11.0,215.0,0.0,0.0,1.0,0.0,9.0,9.0
15,Arizona,P20003984,Stein; Jill,34345,11.0,215.0,0.0,0.0,0.0,0.0,3.0,3.0
16,Arizona,P60022654,McMullin; Evan,17449,11.0,215.0,0.0,0.0,0.0,0.0,1.0,1.0
17,Arizona,P60021102,Castle; Darrell,1058,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arizona,P20005260,Hoefling; Tom,85,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Arizona,P60016623,Smith; Mike,62,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Arizona,P60020757,Buchanan; Robert L.,56,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Arizona,P20004511,Kotlikoff; Laurence,52,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
