,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
52,Colorado,P00012039,Charles; Mark,2011,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Colorado,P80005572,La Riva; Gloria,1035,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Colorado,P60015419,Kopitke; Kyle Kenley,762,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Colorado,P60016342,"""""""De La Fuente; Roque """"""""Rocky""""""""""""""",636,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Colorado,P00013326,McHugh; Joe,614,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Colorado,P00016550,Pierce; Brock,572,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Colorado,P00014522,Collins; Phil,568,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Colorado,P20004768,Jacob-Fambro; Princess Khadijah Maryam,495,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Colorado,P00010124,Hunter; Dario,379,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Colorado,n/a,Huber; Blake,355,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Colorado,P80005473,Kennedy; Alyson,354,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Colorado,P00015230,Kishore; Joseph,196,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Colorado,P00010439,"""""""Scott; Jordan """"""""Cancer""""""""""""""",175,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Colorado,P20005260,Hoefling; Tom,24,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Colorado,n/a,Cella; Todd,4,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Connecticut,P80000722,Biden; Joseph R.; Jr.,1080831,7.0,121.0,7.0,5.0,4.0,121.0,73.0,72.0
68,Connecticut,P80001571,Trump; Donald J.,714717,7.0,121.0,0.0,2.0,3.0,0.0,47.0,47.0
69,Connecticut,P00013524,Jorgensen; Jo,20230,7.0,121.0,0.0,0.0,0.0,0.0,1.0,1.0
70,Connecticut,P00012211,Hawkins; Howie,7538,7.0,121.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Connecticut,P00016741,West; Kanye,255,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Connecticut,P00013771,Carroll; Brian,219,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Connecticut,P00015537,Simmons; Jade,22,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Connecticut,P60016342,"""""""De La Fuente; Roque """"""""Rocky""""""""""""""",13,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Connecticut,P00011189,Howard; Shawn,12,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Connecticut,P00012039,Charles; Mark,11,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Connecticut,P00007864,Wells; Kasey,6,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Connecticut,n/a,Simmons; Mary Ruth Caro,2,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Connecticut,n/a,Weinstein; Karynn,1,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Delaware,P80000722,Biden; Joseph R.; Jr.,296268,3.0,32.0,3.0,3.0,2.0,32.0,20.0,19.0
81,Delaware,P80001571,Trump; Donald J.,200603,3.0,32.0,0.0,0.0,1.0,0.0,12.0,13.0
82,Delaware,P00013524,Jorgensen; Jo,5000,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Delaware,P00012211,Hawkins; Howie,2139,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Delaware,P00016741,West; Kanye,169,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Delaware,P00013771,Carroll; Brian,87,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Delaware,P00015537,Simmons; Jade,28,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Delaware,P80005572,La Riva; Gloria,14,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Delaware,P00012039,Charles; Mark,8,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Delaware,P00012799,Bellar; Barbara,7,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Delaware,P00016550,Pierce; Brock,5,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Delaware,P00011189,Howard; Shawn,4,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Delaware,n/a,Ball; Dennis Andrew,3,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Delaware,n/a,Cella; Todd,2,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Delaware,P20004768,Jacob-Fambro; Princess Khadijah Maryam,2,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Delaware,n/a,Williams; Mitchell,2,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Delaware,P00017202,Boddie; President,1,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Delaware,n/a,Gibson; Kathryn,1,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Delaware,P20005260,Hoefling; Tom,1,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Delaware,P00005207,Rouse; Deborah,1,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Delaware,P00007864,Wells; Kasey,1,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
101,District of Columbia,P80000722,Biden; Joseph R.,317323,3.0,20.0,3.0,3.0,3.0,20.0,19.0,19.0
102,District of Columbia,P80001571,Trump; Donald J.,18586,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
103,District of Columbia,n/a,Scattered,3137,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
104,District of Columbia,P00013524,Jorgensen; Jo,2036,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
105,District of Columbia,P00012211,Hawkins; Howie,1726,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
106,District of Columbia,P80005572,La Riva; Gloria,855,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
107,District of Columbia,P00016550,Pierce; Brock,693,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Florida,P80001571,Trump; Donald J.,5668731,29.0,632.0,29.0,16.0,15.0,632.0,325.0,324.0
109,Florida,P80000722,Biden; Joseph R.; Jr.,5297045,29.0,632.0,0.0,13.0,14.0,0.0,302.0,303.0
110,Florida,P00013524,Jorgensen; Jo,70324,29.0,632.0,0.0,0.0,0.0,0.0,4.0,4.0
111,Florida,P00012211,Hawkins; Howie,14721,29.0,632.0,0.0,0.0,0.0,0.0,1.0,1.0
112,Florida,P60016342,"""""""De La Fuente; Roque """"""""Rocky""""""""""""""",5966,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Florida,P80005572,La Riva; Gloria,5712,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Florida,P00014209,Blankenship; Don,3902,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Florida,P00013771,Carroll; Brian,854,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Florida,P00015537,Simmons; Jade,181,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Florida,P00011189,Howard; Shawn,9,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Florida,P00007864,Wells; Kasey,8,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Florida,P00008987,Walls-Windhauser; Angela Marie,2,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Florida,P00017293,Laboch; Michael A.,1,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Georgia,P80000722,Biden; Joseph R.,2473633,16.0,326.0,16.0,9.0,8.0,326.0,162.0,161.0
122,Georgia,P80001571,Trump; Donald J.,2461854,16.0,326.0,0.0,7.0,8.0,0.0,160.0,161.0
123,Georgia,P00013524,Jorgensen; Jo,62229,16.0,326.0,0.0,0.0,0.0,0.0,4.0,4.0
124,Georgia,P00012211,Hawkins; Howie,1013,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Georgia,P00013771,Carroll; Brian,701,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
