,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,P80001571,Trump; Donald J.,1441170,4802982.0,7.0,2323282,331897.4285714286,4.0,113580.28571428568,258142.44444444444,5.0,150457.7777777778,160.0,14520.5125,99.0,3639.262499999928,14341.246913580248,100.0,7045.3086419752435
1,Alabama,P80000722,Biden; Joseph R.,849624,4802982.0,7.0,2323282,331897.4285714286,2.0,185829.14285714284,258142.44444444444,3.0,75196.66666666669,160.0,14520.5125,58.0,7434.274999999958,14341.246913580248,59.0,3490.4320987653937
2,Alabama,P00013524,Jorgensen; Jo,25176,4802982.0,7.0,2323282,331897.4285714286,0.0,25176.0,258142.44444444444,0.0,25176.0,160.0,14520.5125,1.0,10655.4875,14341.246913580248,1.0,10834.753086419752
3,Alabama,n/a,Scattered,7312,4802982.0,7.0,2323282,331897.4285714286,0.0,7312.0,258142.44444444444,0.0,7312.0,160.0,14520.5125,0.0,7312.0,14341.246913580248,0.0,7312.0
4,Alaska,P80001571,Trump; Donald J.,189951,721523.0,1.0,359530,359530.0,0.0,189951.0,119843.33333333333,1.0,70107.66666666667,24.0,14980.416666666666,12.0,10186.000000000007,13828.076923076924,13.0,10185.99999999999
5,Alaska,P80000722,Biden; Joseph R.; Jr.,153778,721523.0,1.0,359530,359530.0,0.0,153778.0,119843.33333333333,1.0,33934.66666666667,24.0,14980.416666666666,10.0,3973.8333333333394,13828.076923076924,11.0,1669.1538461538385
6,Alaska,P00013524,Jorgensen; Jo,8897,721523.0,1.0,359530,359530.0,0.0,8897.0,119843.33333333333,0.0,8897.0,24.0,14980.416666666666,0.0,8897.0,13828.076923076924,0.0,8897.0
7,Alaska,P00003418,"""Janos; James G. """"Jesse Ventura""""""",2673,721523.0,1.0,359530,359530.0,0.0,2673.0,119843.33333333333,0.0,2673.0,24.0,14980.416666666666,0.0,2673.0,13828.076923076924,0.0,2673.0
8,Alaska,n/a,Scattered,1961,721523.0,1.0,359530,359530.0,0.0,1961.0,119843.33333333333,0.0,1961.0,24.0,14980.416666666666,0.0,1961.0,13828.076923076924,0.0,1961.0
9,Alaska,P00014209,Blankenship; Don,1127,721523.0,1.0,359530,359530.0,0.0,1127.0,119843.33333333333,0.0,1127.0,24.0,14980.416666666666,0.0,1127.0,13828.076923076924,0.0,1127.0
10,Alaska,P00016550,Pierce; Brock,825,721523.0,1.0,359530,359530.0,0.0,825.0,119843.33333333333,0.0,825.0,24.0,14980.416666666666,0.0,825.0,13828.076923076924,0.0,825.0
11,Alaska,P60016342,"""De La Fuente; Roque """"Rocky""""""",318,721523.0,1.0,359530,359530.0,0.0,318.0,119843.33333333333,0.0,318.0,24.0,14980.416666666666,0.0,318.0,13828.076923076924,0.0,318.0
12,Arizona,P80000722,Biden; Joseph,1672143,6412700.0,9.0,3387326,376369.55555555556,4.0,166664.77777777775,307938.7272727273,5.0,132449.36363636353,213.0,15902.93896713615,105.0,2334.4084507042935,15755.004651162792,106.0,2112.5069767440946
13,Arizona,P80001571,Trump; Donald J.,1661686,6412700.0,9.0,3387326,376369.55555555556,4.0,156207.77777777775,307938.7272727273,5.0,121992.36363636353,213.0,15902.93896713615,104.0,7780.347417840443,15755.004651162792,105.0,7410.511627906886
14,Arizona,P00013524,Jorgensen; Jo,51465,6412700.0,9.0,3387326,376369.55555555556,0.0,51465.0,307938.7272727273,0.0,51465.0,213.0,15902.93896713615,3.0,3756.1830985915512,15755.004651162792,3.0,4199.986046511625
15,Arizona,P00012211,Hawkins; Howie,1557,6412700.0,9.0,3387326,376369.55555555556,0.0,1557.0,307938.7272727273,0.0,1557.0,213.0,15902.93896713615,0.0,1557.0,15755.004651162792,0.0,1557.0
16,Arizona,P00015537,Simmons; Jade,236,6412700.0,9.0,3387326,376369.55555555556,0.0,236.0,307938.7272727273,0.0,236.0,213.0,15902.93896713615,0.0,236.0,15755.004651162792,0.0,236.0
17,Arizona,P80005572,La Riva; Gloria,190,6412700.0,9.0,3387326,376369.55555555556,0.0,190.0,307938.7272727273,0.0,190.0,213.0,15902.93896713615,0.0,190.0,15755.004651162792,0.0,190.0
18,Arizona,n/a,Cummings; Daniel Clyde,36,6412700.0,9.0,3387326,376369.55555555556,0.0,36.0,307938.7272727273,0.0,36.0,213.0,15902.93896713615,0.0,36.0,15755.004651162792,0.0,36.0
19,Arizona,P00017202,Boddie; President R.,13,6412700.0,9.0,3387326,376369.55555555556,0.0,13.0,307938.7272727273,0.0,13.0,213.0,15902.93896713615,0.0,13.0,15755.004651162792,0.0,13.0
20,Arkansas,P80001571,Trump; Donald J.,760647,2926229.0,4.0,1219069,304767.25,2.0,151112.5,203178.16666666666,3.0,151112.50000000003,97.0,12567.721649484536,60.0,6583.701030927834,12313.828282828283,61.0,9503.474747474756
21,Arkansas,P80000722,Biden; Joseph R.,423932,2926229.0,4.0,1219069,304767.25,1.0,119164.75,203178.16666666666,2.0,17575.666666666686,97.0,12567.721649484536,33.0,9197.185567010309,12313.828282828283,34.0,5261.838383838389
22,Arkansas,P00013524,Jorgensen; Jo,13133,2926229.0,4.0,1219069,304767.25,0.0,13133.0,203178.16666666666,0.0,13133.0,97.0,12567.721649484536,1.0,565.2783505154639,12313.828282828283,1.0,819.1717171717173
23,Arkansas,P00016741,West; Kanye,4099,2926229.0,4.0,1219069,304767.25,0.0,4099.0,203178.16666666666,0.0,4099.0,97.0,12567.721649484536,0.0,4099.0,12313.828282828283,0.0,4099.0
24,Arkansas,P00012211,Hawkins; Howie,2980,2926229.0,4.0,1219069,304767.25,0.0,2980.0,203178.16666666666,0.0,2980.0,97.0,12567.721649484536,0.0,2980.0,12313.828282828283,0.0,2980.0
25,Arkansas,P00014522,Collins; Phil,2812,2926229.0,4.0,1219069,304767.25,0.0,2812.0,203178.16666666666,0.0,2812.0,97.0,12567.721649484536,0.0,2812.0,12313.828282828283,0.0,2812.0
26,Arkansas,P00016550,Pierce; Brock,2141,2926229.0,4.0,1219069,304767.25,0.0,2141.0,203178.16666666666,0.0,2141.0,97.0,12567.721649484536,0.0,2141.0,12313.828282828283,0.0,2141.0
27,Arkansas,P00014209,Blankenship; Don,2108,2926229.0,4.0,1219069,304767.25,0.0,2108.0,203178.16666666666,0.0,2108.0,97.0,12567.721649484536,0.0,2108.0,12313.828282828283,0.0,2108.0
28,Arkansas,P00013771,Carroll; Brian,1713,2926229.0,4.0,1219069,304767.25,0.0,1713.0,203178.16666666666,0.0,1713.0,97.0,12567.721649484536,0.0,1713.0,12313.828282828283,0.0,1713.0
29,Arkansas,P00011577,Gammon; C. L.,1475,2926229.0,4.0,1219069,304767.25,0.0,1475.0,203178.16666666666,0.0,1475.0,97.0,12567.721649484536,0.0,1475.0,12313.828282828283,0.0,1475.0
30,Arkansas,P00013466,Myers; John Richard,1372,2926229.0,4.0,1219069,304767.25,0.0,1372.0,203178.16666666666,0.0,1372.0,97.0,12567.721649484536,0.0,1372.0,12313.828282828283,0.0,1372.0
31,Arkansas,P80005572,La Riva; Gloria,1336,2926229.0,4.0,1219069,304767.25,0.0,1336.0,203178.16666666666,0.0,1336.0,97.0,12567.721649484536,0.0,1336.0,12313.828282828283,0.0,1336.0
32,Arkansas,P60016342,"""De La Fuente; Roque """"Rocky""""""",1321,2926229.0,4.0,1219069,304767.25,0.0,1321.0,203178.16666666666,0.0,1321.0,97.0,12567.721649484536,0.0,1321.0,12313.828282828283,0.0,1321.0
33,California,P80000722,Biden; Joseph R.,11110639,37341989.0,53.0,17501380,330214.71698113205,33.0,213553.33962264238,318206.9090909091,34.0,291604.09090909,1244.0,14068.63344051447,789.0,10487.215434083297,14046.05136436597,791.0,212.37078651726733
34,California,P80001571,Trump; Donald J.,6006518,37341989.0,53.0,17501380,330214.71698113205,18.0,62653.094339623116,318206.9090909091,18.0,278793.6363636359,1244.0,14068.63344051447,426.0,13280.154340835848,14046.05136436597,427.0,8854.06741573056
35,California,P00013524,Jorgensen; Jo,187910,37341989.0,53.0,17501380,330214.71698113205,0.0,187910.0,318206.9090909091,0.0,187910.0,1244.0,14068.63344051447,13.0,5017.765273311892,14046.05136436597,13.0,5311.332263242382
36,California,P00012211,Hawkins; Howie,81032,37341989.0,53.0,17501380,330214.71698113205,0.0,81032.0,318206.9090909091,0.0,81032.0,1244.0,14068.63344051447,5.0,10688.83279742765,14046.05136436597,5.0,10801.743178170147
37,California,P60016342,"""De La Fuente Guerra; Roque """"Rocky""""""",60162,37341989.0,53.0,17501380,330214.71698113205,0.0,60162.0,318206.9090909091,0.0,60162.0,1244.0,14068.63344051447,4.0,3887.4662379421206,14046.05136436597,4.0,3977.7945425361177
38,California,P80005572,La Riva; Gloria,51038,37341989.0,53.0,17501380,330214.71698113205,0.0,51038.0,318206.9090909091,0.0,51038.0,1244.0,14068.63344051447,3.0,8832.09967845659,14046.05136436597,3.0,8899.845906902088
39,California,P00013771,Carroll; Brian,2605,37341989.0,53.0,17501380,330214.71698113205,0.0,2605.0,318206.9090909091,0.0,2605.0,1244.0,14068.63344051447,0.0,2605.0,14046.05136436597,0.0,2605.0
40,California,P00003418,Ventura; Jesse,611,37341989.0,53.0,17501380,330214.71698113205,0.0,611.0,318206.9090909091,0.0,611.0,1244.0,14068.63344051447,0.0,611.0,14046.05136436597,0.0,611.0
41,California,P00012039,Charles; Mark,559,37341989.0,53.0,17501380,330214.71698113205,0.0,559.0,318206.9090909091,0.0,559.0,1244.0,14068.63344051447,0.0,559.0,14046.05136436597,0.0,559.0
42,California,P00016550,Pierce; Brock,185,37341989.0,53.0,17501380,330214.71698113205,0.0,185.0,318206.9090909091,0.0,185.0,1244.0,14068.63344051447,0.0,185.0,14046.05136436597,0.0,185.0
43,California,P00015230,Kishore; Joseph,121,37341989.0,53.0,17501380,330214.71698113205,0.0,121.0,318206.9090909091,0.0,121.0,1244.0,14068.63344051447,0.0,121.0,14046.05136436597,0.0,121.0
44,Colorado,P80000722,Biden; Joseph R.,1804352,5044930.0,7.0,3256980,465282.85714285716,3.0,408503.4285714285,361886.6666666667,4.0,356805.33333333326,168.0,19386.785714285714,93.0,1380.9285714286198,19158.70588235294,94.0,3433.6470588235898
45,Colorado,P80001571,Trump; Donald J.,1364607,5044930.0,7.0,3256980,465282.85714285716,2.0,434041.2857142857,361886.6666666667,3.0,278946.99999999994,168.0,19386.785714285714,70.0,7532.000000000036,19158.70588235294,71.0,4338.882352941222
46,Colorado,P00013524,Jorgensen; Jo,52460,5044930.0,7.0,3256980,465282.85714285716,0.0,52460.0,361886.6666666667,0.0,52460.0,168.0,19386.785714285714,2.0,13686.428571428572,19158.70588235294,2.0,14142.588235294119
47,Colorado,P00012211,Hawkins; Howie,8986,5044930.0,7.0,3256980,465282.85714285716,0.0,8986.0,361886.6666666667,0.0,8986.0,168.0,19386.785714285714,0.0,8986.0,19158.70588235294,0.0,8986.0
48,Colorado,P00016741,West; Kanye,8089,5044930.0,7.0,3256980,465282.85714285716,0.0,8089.0,361886.6666666667,0.0,8089.0,168.0,19386.785714285714,0.0,8089.0,19158.70588235294,0.0,8089.0
49,Colorado,P00014209,Blankenship; Don,5061,5044930.0,7.0,3256980,465282.85714285716,0.0,5061.0,361886.6666666667,0.0,5061.0,168.0,19386.785714285714,0.0,5061.0,19158.70588235294,0.0,5061.0
