,STATE,FEC_ID,Candidate_Name,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
81,Connecticut,P20003984,Stein; Jill,7.0,121.0,0.0,0.0,0.0,0.0,2.0,2.0
82,Connecticut,P60022654,McMullin; Evan,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Connecticut,P60021102,Castle; Darrell L.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Connecticut,n/a,Cooper; Jeffrey A.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Connecticut,n/a,Evans; Ronald,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Connecticut,P60015351,Basiago; Andrew D.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Connecticut,P80005572,La Riva; Gloria,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Connecticut,P20005260,Hoefling; Tom,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Connecticut,P20004511,Kotlikoff; Laurence,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Connecticut,P60020757,Buchanan; Robert L.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Connecticut,n/a,Wu; Jeffrey Anthony,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Connecticut,n/a,Schoenke; Marshall,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Connecticut,P60006673,Deame; Kevin,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Connecticut,n/a,Blumenthal; Paul E.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Connecticut,P60016342,"""""""De La Fuente; """"""""Rocky"""""""" Roque""""""",7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Connecticut,P60016623,Smith; Mike,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Connecticut,n/a,Klojzy; Jeffrey John; Jr.,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Connecticut,n/a,Cummings; Darryl,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Connecticut,P60018249,Maldonado; Joseph,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Connecticut,P60012960,Skewes; Peter,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Connecticut,P60005303,Fox; Cherunda,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Delaware,P00003392,Clinton; Hillary,3.0,32.0,3.0,3.0,2.0,32.0,18.0,17.0
103,Delaware,P80001571,Trump; Donald J.,3.0,32.0,0.0,0.0,1.0,0.0,13.0,13.0
104,Delaware,P20002671,Johnson; Gary,3.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0
105,Delaware,P20003984,Stein; Jill,3.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0
106,Delaware,n/a,Other,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Delaware,P60022654,McMullin; Evan,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Delaware,P60021102,Castle; Darrell L.,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Delaware,P20005260,Hoefling; Thomas Conrad,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Delaware,P60020757,Buchanan; Robert L.,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Delaware,P60016342,"""""""De La Fuente; """"""""Rocky"""""""" Roque""""""",3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Delaware,n/a,Hartnell; Benjamin,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Delaware,P80005572,LaRiva; Gloria,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Delaware,n/a,Limbaugh; David,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Delaware,P60016623,Smith; Mike,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Delaware,n/a,Scott; Ryan Alan,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Delaware,P20004677,White; Jerry,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Delaware,n/a,Duncan; Richard,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Delaware,P60005808,Kahn; Lynn,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Delaware,P80004989,Locke; Star,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Delaware,P60018249,Maldonado; Joseph A.,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Delaware,P60004868,Perry; Darryl W.,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Delaware,P60020963,Sood; Ajay,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Delaware,n/a,Stout; Matthew Water,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
125,District of Columbia,P00003392,Clinton; Hillary,3.0,20.0,3.0,3.0,3.0,20.0,18.0,18.0
126,District of Columbia,P80001571,Trump; Donald J.,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
127,District of Columbia,n/a,Scattered,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
128,District of Columbia,P20002671,Johnson; Gary,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
129,District of Columbia,P20003984,Stein; Jill,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Florida,P80001571,Trump; Donald J.,29.0,632.0,29.0,15.0,14.0,632.0,311.0,310.0
131,Florida,P00003392,Clinton; Hillary,29.0,632.0,0.0,13.0,14.0,0.0,301.0,302.0
132,Florida,P20002671,Johnson; Gary,29.0,632.0,0.0,1.0,1.0,0.0,14.0,14.0
133,Florida,P20003984,Stein; Jill,29.0,632.0,0.0,0.0,0.0,0.0,4.0,4.0
134,Florida,P60021102,Castle; Darrell L.,29.0,632.0,0.0,0.0,0.0,0.0,1.0,1.0
135,Florida,P60016342,De La Fuente; Roque (Rocky),29.0,632.0,0.0,0.0,0.0,0.0,1.0,1.0
136,Florida,P20004511,Kotlikoff; Laurence J.,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Florida,n/a,Duncan; Richard,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Florida,P60015351,Basiago; Andrew D.,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Florida,P60008190,Gyurko; Zoltan Istvan,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Florida,n/a,"""""""Valdivia; Anthony """"""""Tony"""""""" Joseph""""""",29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Florida,P60005303,Fox; Cherunda,29.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Georgia,P80001571,Trump; Donald J.,16.0,326.0,16.0,9.0,8.0,326.0,166.0,165.0
143,Georgia,P00003392,Clinton; Hillary,16.0,326.0,0.0,6.0,7.0,0.0,148.0,149.0
144,Georgia,P20002671,Johnson; Gary,16.0,326.0,0.0,1.0,1.0,0.0,10.0,10.0
145,Georgia,P60022654,McMullin; Evan,16.0,326.0,0.0,0.0,0.0,0.0,1.0,1.0
146,Georgia,P20003984,Stein; Jill,16.0,326.0,0.0,0.0,0.0,0.0,1.0,1.0
147,Georgia,P60021102,Castle; Darrell,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Georgia,P60022787,Maturen; Mike,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Georgia,P60005303,Fox; Cherunda,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Georgia,P20005260,Hoefling; Thomas,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Georgia,P60016623,Smith; Michael L.,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Georgia,P20004511,Kotlikoff; Laurence,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Georgia,n/a,Wilson; Sandra,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Georgia,P60020757,Buchanan; Robert,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Georgia,n/a,Muhammad; Ricky,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Georgia,P60023207,Cubbler; Scott,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Georgia,n/a,Collins; Loren,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Georgia,P80003643,Elliott; Claire Elisabeth,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Georgia,n/a,Byrne; David C.,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Georgia,n/a,Allen; Stephen L.,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Georgia,n/a,Urbach; Marc,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Hawaii,P00003392,Clinton; Hillary,4.0,47.0,4.0,3.0,3.0,47.0,30.0,29.0
163,Hawaii,P80001571,Trump; Donald J.,4.0,47.0,0.0,1.0,1.0,0.0,14.0,14.0
164,Hawaii,P20002671,Johnson; Gary,4.0,47.0,0.0,0.0,0.0,0.0,2.0,2.0
165,Hawaii,P20003984,Stein; Jill,4.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0
166,Hawaii,P60021102,Castle; Darrell L.,4.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0
167,Idaho,P80001571,Trump; Donald J.,4.0,54.0,4.0,3.0,3.0,54.0,33.0,32.0
168,Idaho,P00003392,Clinton; Hillary Rodham,4.0,54.0,0.0,1.0,1.0,0.0,14.0,15.0
169,Idaho,P60022654,McMullin; Evan,4.0,54.0,0.0,0.0,0.0,0.0,4.0,4.0
170,Idaho,P20002671,Johnson; Gary,4.0,54.0,0.0,0.0,0.0,0.0,2.0,2.0
171,Idaho,P20003984,Stein; Jill,4.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0
172,Idaho,P60021102,Castle; Darrell L.,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Idaho,P60007457,Copeland; Scott,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Idaho,P60016342,De La Fuente; Rocky,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Illinois,P00003392,Clinton; Hillary Rodham,20.0,430.0,20.0,12.0,11.0,430.0,241.0,240.0
176,Illinois,P80001571,Trump; Donald J.,20.0,430.0,0.0,7.0,8.0,0.0,166.0,167.0
177,Illinois,P20002671,Johnson; Gary,20.0,430.0,0.0,1.0,1.0,0.0,16.0,16.0
178,Illinois,P20003984,Stein; Jill,20.0,430.0,0.0,0.0,0.0,0.0,6.0,6.0
179,Illinois,P60022654,McMullin; Evan,20.0,430.0,0.0,0.0,0.0,0.0,1.0,1.0
180,Illinois,P60021102,Castle; Darrell,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Illinois,P20005260,Hoefling; Tom,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Illinois,P20004511,Kotlikoff; Laurence,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Illinois,n/a,Anderson; James,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Illinois,n/a,Seeberg; Phillip,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Illinois,n/a,Schoenke; Marshall Roy,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Illinois,n/a,McKee; Kevin,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Illinois,P60018249,Maldonado; Joseph A.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Illinois,P60023686,Breivogel; Joann,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Illinois,P60019114,Morris; Laio,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Illinois,n/a,Stack; David G.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Illinois,n/a,Roberts; Matthew,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Illinois,n/a,Lee; Jonathan,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Illinois,n/a,Hartnell; Ben,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Illinois,n/a,Brumfield; Author C.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Illinois,n/a,Smith; Duff Cooper,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Illinois,P60005303,Fox; Cherunda,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Illinois,n/a,Meluch; Timothy B.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Illinois,n/a,Tyree; Roy Wayne,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Illinois,n/a,Harper; Mark J.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Illinois,n/a,Johnson; Nathan,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Illinois,n/a,Struck; James T.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Illinois,P60020484,Wysinger; Dem J.,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Indiana,P80001571,Trump; Donald J.,11.0,218.0,11.0,7.0,6.0,218.0,125.0,124.0
204,Indiana,P00003392,Clinton; Hillary,11.0,218.0,0.0,3.0,4.0,0.0,82.0,82.0
205,Indiana,P20002671,Johnson; Gary,11.0,218.0,0.0,1.0,1.0,0.0,10.0,11.0
206,Indiana,P20003984,Stein; Jill,11.0,218.0,0.0,0.0,0.0,0.0,1.0,1.0
207,Indiana,P60021102,Castle; Darrell L.,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Indiana,P20005260,Hoefling; Tom,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Indiana,n/a,Roberts; Matthew,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Indiana,n/a,Jackson; Denny Carroll,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Indiana,P60018017,Soltysik; Emidio,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Indiana,P20004511,Kotlikoff; Laurence,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Indiana,n/a,Kelly; Melissa L.,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Indiana,n/a,Duncan; Richard,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Indiana,n/a,Mullis; Richard G.,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Indiana,P60016342,De La Fuente; Roque,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Indiana,n/a,Brown; Ray C.,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Indiana,P60018249,Maldonado; Joseph,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Indiana,P60005303,Fox; Cherunda,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Iowa,P80001571,Trump; Donald J.,6.0,103.0,6.0,4.0,3.0,103.0,54.0,53.0
221,Iowa,P00003392,Clinton; Hillary,6.0,103.0,0.0,2.0,3.0,0.0,42.0,43.0
222,Iowa,P20002671,Johnson; Gary,6.0,103.0,0.0,0.0,0.0,0.0,4.0,4.0
223,Iowa,n/a,Scattered,6.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0
224,Iowa,P60022654,McMullin; Evan,6.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0
225,Iowa,P20003984,Stein; Jill,6.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0
226,Iowa,P60021102,Castle; Darrell L.,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Iowa,P60005808,Kahn; Lynn,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Iowa,n/a,Vacek; Dan R.,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Iowa,P60016342,De La Fuente; Rocky Roque,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Iowa,P80005572,La Riva; Gloria,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Kansas,P80001571,Trump; Donald J.,6.0,97.0,6.0,4.0,4.0,97.0,56.0,55.0
232,Kansas,P00003392,Clinton; Hillary Rodham,6.0,97.0,0.0,2.0,2.0,0.0,34.0,35.0
233,Kansas,P20002671,Johnson; Gary,6.0,97.0,0.0,0.0,0.0,0.0,4.0,5.0
234,Kansas,P20003984,Stein; Jill,6.0,97.0,0.0,0.0,0.0,0.0,2.0,2.0
235,Kansas,P60022654,McMullin; Evan,6.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0
236,Kansas,P60021102,Castle; Darrell L.,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Kansas,P60022787,Maturen; Michael A.,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Kansas,P20005260,Hoefling; Tom,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Kansas,P60020963,Sood; Ajay,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Kansas,P80005572,La Riva; Gloria,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Kansas,P60015351,Basiago; Andrew D.,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Kansas,P60016623,Smith; Mike,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Kansas,P60016342,"""""""De La Fuente; """"""""Rocky"""""""" Roque""""""",6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Kansas,P60017340,Hedges; James A.,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Kansas,P00003962,Schriner; Joe C.,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Kansas,P60005808,Kahn; Lynn,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Kansas,P60004868,Perry; Darryl,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Kansas,P60007929,Sterling; Shawna,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Kentucky,P80001571,Trump; Donald J.,8.0,147.0,8.0,6.0,5.0,147.0,93.0,92.0
