,STATE,FEC_ID,Candidate_Name,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
0,Alabama,P80001571,Trump; Donald J.,9.0,162.0,9.0,6.0,6.0,162.0,101.0,100.0
1,Alabama,P00003392,Clinton; Hillary,9.0,162.0,0.0,3.0,3.0,0.0,55.0,56.0
2,Alabama,P20002671,Johnson; Gary,9.0,162.0,0.0,0.0,0.0,0.0,3.0,3.0
3,Alabama,n/a,Scattered;,9.0,162.0,0.0,0.0,0.0,0.0,2.0,2.0
4,Alabama,P20003984,Stein; Jill,9.0,162.0,0.0,0.0,0.0,0.0,1.0,1.0
5,Alaska,P80001571,Trump; Donald J.,3.0,26.0,3.0,3.0,2.0,26.0,14.0,13.0
6,Alaska,P00003392,Clinton; Hillary,3.0,26.0,0.0,0.0,1.0,0.0,9.0,10.0
7,Alaska,P20002671,Johnson; Gary,3.0,26.0,0.0,0.0,0.0,0.0,1.0,2.0
8,Alaska,n/a,Scattered,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0
9,Alaska,P20003984,Stein; Jill,3.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0
10,Alaska,P60021102,Castle; Darrell L.,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alaska,P60016342,De La Fuente; Roque,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,P80001571,Trump; Donald J.,11.0,215.0,11.0,7.0,5.0,215.0,106.0,105.0
13,Arizona,P00003392,Clinton; Hillary,11.0,215.0,0.0,4.0,5.0,0.0,96.0,97.0
14,Arizona,P20002671,Johnson; Gary,11.0,215.0,0.0,0.0,1.0,0.0,9.0,9.0
15,Arizona,P20003984,Stein; Jill,11.0,215.0,0.0,0.0,0.0,0.0,3.0,3.0
16,Arizona,P60022654,McMullin; Evan,11.0,215.0,0.0,0.0,0.0,0.0,1.0,1.0
17,Arizona,P60021102,Castle; Darrell,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arizona,P20005260,Hoefling; Tom,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Arizona,P60016623,Smith; Mike,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Arizona,P60020757,Buchanan; Robert L.,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Arizona,P20004511,Kotlikoff; Laurence,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Arizona,P80000268,Carter; Willie Felix,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Arizona,P60016342,"""""""De La Fuente; """"""""Rocky"""""""" Roque""""""",11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Arizona,P60023322,In-Albon; Mitchell,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Arizona,P60018249,Maldonado; Joseph,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Arizona,P60005303,Fox; Cherunda,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Arizona,P20002630,"""""""Tittle; Sheila """"""""Samm""""""""""""""",11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Arizona,n/a,Hartnell; Ben,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Arizona,n/a,Schoenke; Marshall,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Arizona,P60021631,Steinacker; Delano,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Arizona,n/a,Corsetti; Michael,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Arkansas,P80001571,Trump; Donald J.,6.0,99.0,6.0,5.0,4.0,99.0,61.0,60.0
33,Arkansas,P00003392,Clinton; Hillary,6.0,99.0,0.0,1.0,2.0,0.0,33.0,33.0
34,Arkansas,P20002671,Johnson; Gary,6.0,99.0,0.0,0.0,0.0,0.0,3.0,3.0
35,Arkansas,P60022654,McMullin; Evan,6.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0
36,Arkansas,P20003984,Stein; Jill,6.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0
37,Arkansas,P60017340,Hedges; Jim,6.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0
38,Arkansas,P60021102,Castle; Darrell L.,6.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Arkansas,P60005808,Kahn; Lynn S.,6.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
40,California,P00003392,Clinton; Hillary,55.0,1246.0,55.0,35.0,34.0,1246.0,770.0,769.0
41,California,P80001571,Trump; Donald J.,55.0,1246.0,0.0,17.0,18.0,0.0,393.0,394.0
42,California,P20002671,Johnson; Gary,55.0,1246.0,0.0,2.0,2.0,0.0,42.0,42.0
43,California,P20003984,Stein; Jill,55.0,1246.0,0.0,1.0,1.0,0.0,24.0,25.0
44,California,P60007168,"""""""Sanders; Bernard """"""""Bernie""""""""""""""",55.0,1246.0,0.0,0.0,0.0,0.0,7.0,7.0
45,California,P80005572,La Riva; Gloria Estela,55.0,1246.0,0.0,0.0,0.0,0.0,6.0,6.0
46,California,P60022654,McMullin; Evan,55.0,1246.0,0.0,0.0,0.0,0.0,4.0,3.0
47,California,P60022787,Maturen; Mike,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
48,California,P20004511,Kotlikoff; Laurence,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
49,California,P20004677,White; Jerry,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Colorado,P00003392,Clinton; Hillary,9.0,170.0,9.0,6.0,4.0,170.0,83.0,82.0
51,Colorado,P80001571,Trump; Donald J.,9.0,170.0,0.0,3.0,4.0,0.0,73.0,74.0
52,Colorado,P20002671,Johnson; Gary,9.0,170.0,0.0,0.0,1.0,0.0,9.0,9.0
53,Colorado,P20003984,Stein; Jill,9.0,170.0,0.0,0.0,0.0,0.0,2.0,2.0
54,Colorado,P60022654,McMullin; Evan,9.0,170.0,0.0,0.0,0.0,0.0,2.0,2.0
55,Colorado,P60021102,Castle; Darrell L.,9.0,170.0,0.0,0.0,0.0,0.0,1.0,1.0
56,Colorado,P60009917,Keniston; Chris,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Colorado,P60016623,Smith; Mike,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Colorado,P60016342,"""""""De La Fuente; """"""""Rocky"""""""" Roque""""""",9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Colorado,P60015419,Kopitke; Kyle Kenley,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Colorado,P60018249,Maldonado; Joseph Allen,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Colorado,P60022787,Maturen; Michael A.,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Colorado,P60017035,Silva; Rod,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Colorado,n/a,Scott; Ryan Alan,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Colorado,P20005260,Hoefling; Tom,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Colorado,P80005572,La Riva; Gloria Estela,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Colorado,P80005473,Kennedy; Alyson,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Colorado,P20004511,Kotlikoff; Laurence,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Colorado,P60023504,Lyttle; Bradford,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Colorado,P60023496,Atwood; Frank,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Colorado,P60018017,Soltysik; Emidio,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Colorado,P60017340,Hedges; James,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Colorado,n/a,Perry; David,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Colorado,n/a,Sterner; Corey,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Colorado,P60020617,Perry; Brian Anthony,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Colorado,n/a,Lohmiller; Bruce,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Colorado,P60005303,Fox; Cherunda,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Colorado,n/a,Nieman; Thomas J.,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Connecticut,P00003392,Clinton; Hillary,7.0,121.0,7.0,5.0,4.0,121.0,67.0,66.0
79,Connecticut,P80001571,Trump; Donald J.,7.0,121.0,0.0,2.0,3.0,0.0,49.0,49.0
80,Connecticut,P20002671,Johnson; Gary,7.0,121.0,0.0,0.0,0.0,0.0,3.0,4.0
