,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,Trump; Donald J.,1318255,4802982.0,7.0,2123372,303338.85714285716,4.0,104899.57142857136,235930.22222222222,5.0,138603.8888888889,160.0,13271.075,99.0,4418.574999999928,13107.234567901234,100.0,7531.543209876581
1,Alabama,Clinton; Hillary,729547,4802982.0,7.0,2123372,303338.85714285716,2.0,122869.28571428568,235930.22222222222,3.0,21756.333333333343,160.0,13271.075,54.0,12908.94999999996,13107.234567901234,55.0,8649.09876543212
2,Alabama,Johnson; Gary,44467,4802982.0,7.0,2123372,303338.85714285716,0.0,44467.0,235930.22222222222,0.0,44467.0,160.0,13271.075,3.0,4653.774999999998,13107.234567901234,3.0,5145.296296296297
3,Alabama,Scattered;,21712,4802982.0,7.0,2123372,303338.85714285716,0.0,21712.0,235930.22222222222,0.0,21712.0,160.0,13271.075,1.0,8440.925,13107.234567901234,1.0,8604.765432098766
4,Alabama,Stein; Jill,9391,4802982.0,7.0,2123372,303338.85714285716,0.0,9391.0,235930.22222222222,0.0,9391.0,160.0,13271.075,0.0,9391.0,13107.234567901234,0.0,9391.0
5,Alaska,Trump; Donald J.,163387,721523.0,1.0,318608,318608.0,0.0,163387.0,106202.66666666667,1.0,57184.33333333333,24.0,13275.333333333334,12.0,4082.9999999999927,12254.153846153846,13.0,4083.0000000000055
6,Alaska,Clinton; Hillary,116454,721523.0,1.0,318608,318608.0,0.0,116454.0,106202.66666666667,1.0,10251.333333333328,24.0,13275.333333333334,8.0,10251.333333333328,12254.153846153846,9.0,6166.615384615388
7,Alaska,Johnson; Gary,18725,721523.0,1.0,318608,318608.0,0.0,18725.0,106202.66666666667,0.0,18725.0,24.0,13275.333333333334,1.0,5449.666666666666,12254.153846153846,1.0,6470.846153846154
8,Alaska,Scattered,9201,721523.0,1.0,318608,318608.0,0.0,9201.0,106202.66666666667,0.0,9201.0,24.0,13275.333333333334,0.0,9201.0,12254.153846153846,0.0,9201.0
9,Alaska,Stein; Jill,5735,721523.0,1.0,318608,318608.0,0.0,5735.0,106202.66666666667,0.0,5735.0,24.0,13275.333333333334,0.0,5735.0,12254.153846153846,0.0,5735.0
10,Alaska,Castle; Darrell L.,3866,721523.0,1.0,318608,318608.0,0.0,3866.0,106202.66666666667,0.0,3866.0,24.0,13275.333333333334,0.0,3866.0,12254.153846153846,0.0,3866.0
11,Alaska,De La Fuente; Roque,1240,721523.0,1.0,318608,318608.0,0.0,1240.0,106202.66666666667,0.0,1240.0,24.0,13275.333333333334,0.0,1240.0,12254.153846153846,0.0,1240.0
12,Arizona,Trump; Donald J.,1252401,6412700.0,9.0,2573165,285907.22222222225,4.0,108772.11111111101,233924.0909090909,5.0,82780.54545454544,213.0,12080.586854460094,103.0,8100.553990610277,11968.209302325582,104.0,7707.232558139469
13,Arizona,Clinton; Hillary,1161167,6412700.0,9.0,2573165,285907.22222222225,4.0,17538.111111111008,233924.0909090909,4.0,225470.63636363635,213.0,12080.586854460094,96.0,1430.6619718309375,11968.209302325582,97.0,250.6976744185431
14,Arizona,Johnson; Gary,106327,6412700.0,9.0,2573165,285907.22222222225,0.0,106327.0,233924.0909090909,0.0,106327.0,213.0,12080.586854460094,8.0,9682.305164319245,11968.209302325582,8.0,10581.325581395344
15,Arizona,Stein; Jill,34345,6412700.0,9.0,2573165,285907.22222222225,0.0,34345.0,233924.0909090909,0.0,34345.0,213.0,12080.586854460094,2.0,10183.826291079811,11968.209302325582,2.0,10408.581395348836
16,Arizona,McMullin; Evan,17449,6412700.0,9.0,2573165,285907.22222222225,0.0,17449.0,233924.0909090909,0.0,17449.0,213.0,12080.586854460094,1.0,5368.413145539906,11968.209302325582,1.0,5480.790697674418
